Job_Title,Industry,Company_Size,Location,AI_Adoption_Level,Automation_Risk,Required_Skills,Salary_USD,Remote_Friendly,Job_Growth_Projection
Marketing Specialist,Manufacturing,Small,United Kingdom,High,Low,Marketing,74286.40807,No,Decline
Marketing Specialist,Retail,Large,Singapore,Medium,Medium,Project Management,99112.37239,Yes,Decline
Sales Manager,Finance,Large,Japan,Medium,High,Python,87042.86,No,Decline
Cybersecurity Analyst,Education,Medium,United Kingdom,Medium,High,Cybersecurity,92153.90011,Yes,Decline
Cybersecurity Analyst,Healthcare,Large,United States of America,High,High,Project Management,98235.72582,Yes,Stable
Marketing Specialist,Finance,Small,France,Medium,Medium,Cybersecurity,63848.51232,No,Growth
Cybersecurity Analyst,Manufacturing,Small,Australia,Medium,High,Cybersecurity,93833.21783,Yes,Decline
HR Manager,Entertainment,Small,United States of America,Low,Medium,Machine Learning,135778.9498,No,Decline
Product Manager,Healthcare,Large,United Kingdom,High,High,Python,58864.73308,Yes,Stable
Software Engineer,Telecommunications,Large,United States of America,Medium,High,Communication,88847.84073,No,Stable
UX Designer,Energy,Large,Singapore,High,Low,Marketing,112464.7865,No,Growth
Operations Manager,Healthcare,Large,United Arab Emirates,Medium,Medium,Communication,96032.38496,No,Stable
Sales Manager,Manufacturing,Large,United States of America,Medium,Low,Machine Learning,103759.339,Yes,Growth
Product Manager,Transportation,Small,United Arab Emirates,Medium,Low,Cybersecurity,42486.67978,Yes,Decline
Marketing Specialist,Energy,Medium,Singapore,Low,Low,UX/UI Design,101964.9875,No,Decline
UX Designer,Technology,Small,United States of America,Low,Medium,Marketing,74766.23588,Yes,Growth
Cybersecurity Analyst,Education,Large,Japan,Low,Medium,Marketing,96197.54569,No,Stable
Operations Manager,Technology,Small,United Arab Emirates,High,High,Python,89411.30538,No,Growth
Cybersecurity Analyst,Healthcare,Large,United States of America,High,Low,JavaScript,135566.6606,Yes,Stable
Data Scientist,Technology,Large,Germany,Low,High,Data Analysis,100933.9065,No,Decline
Data Scientist,Manufacturing,Small,Canada,High,Low,Data Analysis,87747.52341,Yes,Stable
Operations Manager,Telecommunications,Large,United Kingdom,Medium,Medium,Data Analysis,59806.14481,No,Growth
Operations Manager,Entertainment,Medium,Japan,Medium,Medium,JavaScript,92422.93804,Yes,Growth
Marketing Specialist,Education,Large,United Arab Emirates,Medium,Medium,Python,106464.5776,No,Decline
Operations Manager,Technology,Medium,France,Low,Low,JavaScript,88388.96216,No,Stable
HR Manager,Technology,Medium,United Kingdom,High,Medium,Data Analysis,79886.8728,Yes,Stable
Cybersecurity Analyst,Healthcare,Large,Germany,Low,Low,Machine Learning,78548.26672,No,Stable
Product Manager,Entertainment,Small,Singapore,High,High,Project Management,100702.8287,No,Decline
AI Researcher,Finance,Medium,Canada,Medium,Low,Cybersecurity,105187.7588,Yes,Stable
Operations Manager,Technology,Small,United States of America,Low,High,JavaScript,117224.2023,No,Growth
Sales Manager,Manufacturing,Medium,Germany,High,Low,Python,70100.00214,Yes,Stable
Data Scientist,Transportation,Large,Germany,High,High,Python,100519.5512,No,Decline
HR Manager,Education,Large,Singapore,Medium,Medium,Communication,87565.92091,Yes,Stable
UX Designer,Technology,Medium,Australia,Low,High,Project Management,88155.31591,No,Stable
AI Researcher,Manufacturing,Large,Singapore,Low,Medium,UX/UI Design,98036.51708,No,Growth
Product Manager,Manufacturing,Medium,Australia,Low,Medium,Marketing,98153.12507,No,Stable
AI Researcher,Education,Large,Australia,Medium,High,Data Analysis,100575.3621,Yes,Growth
Operations Manager,Finance,Small,Japan,Low,Low,UX/UI Design,68850.57616,Yes,Growth
Marketing Specialist,Manufacturing,Large,Japan,Medium,Low,Communication,75003.77186,Yes,Decline
Data Scientist,Transportation,Small,United States of America,Medium,Low,Data Analysis,119717.3655,Yes,Growth
Data Scientist,Manufacturing,Large,United Arab Emirates,Medium,Low,Project Management,85588.55065,No,Growth
UX Designer,Manufacturing,Small,United Arab Emirates,High,Low,Communication,96120.28796,No,Decline
Marketing Specialist,Manufacturing,Large,United States of America,Low,Medium,Data Analysis,111093.3262,Yes,Growth
Cybersecurity Analyst,Telecommunications,Small,United Arab Emirates,Low,Low,Project Management,99268.86145,Yes,Decline
Software Engineer,Telecommunications,Medium,Japan,Medium,Medium,Sales,100930.4526,Yes,Stable
HR Manager,Finance,Medium,United States of America,Medium,Medium,UX/UI Design,107891.5536,No,Decline
Data Scientist,Technology,Small,United States of America,Low,Medium,UX/UI Design,47666.72478,Yes,Growth
Sales Manager,Manufacturing,Large,Australia,Medium,High,Marketing,80200.9969,Yes,Decline
Data Scientist,Entertainment,Small,Singapore,Low,High,Project Management,99372.11593,No,Growth
AI Researcher,Technology,Large,United States of America,High,Medium,JavaScript,117752.8861,No,Stable
Data Scientist,Finance,Medium,Australia,Medium,High,Sales,91321.91119,Yes,Decline
Data Scientist,Retail,Large,Singapore,Low,Low,Machine Learning,73105.67076,No,Stable
Software Engineer,Technology,Medium,United Arab Emirates,Medium,Low,Data Analysis,73638.27901,Yes,Growth
Software Engineer,Technology,Large,Australia,Low,Medium,Sales,107677.2241,No,Growth
Product Manager,Energy,Large,United Kingdom,Low,Low,Project Management,85644.52835,Yes,Stable
Cybersecurity Analyst,Healthcare,Large,United Arab Emirates,Medium,Medium,Cybersecurity,89855.99908,Yes,Decline
Sales Manager,Energy,Small,Singapore,High,Medium,Data Analysis,102300.6039,Yes,Decline
Data Scientist,Transportation,Small,United States of America,Low,Low,Python,31969.52635,Yes,Growth
Data Scientist,Telecommunications,Medium,Singapore,Low,High,UX/UI Design,130007.3502,No,Stable
HR Manager,Telecommunications,Medium,Australia,Low,Low,Project Management,75378.5233,No,Stable
Software Engineer,Healthcare,Small,Australia,High,Low,Python,94838.72739,No,Decline
Sales Manager,Education,Medium,Germany,High,Medium,Marketing,55906.05973,No,Decline
UX Designer,Education,Small,United States of America,Medium,Medium,Communication,81549.17779,Yes,Decline
Product Manager,Finance,Large,France,High,Medium,Machine Learning,114893.7609,Yes,Stable
Cybersecurity Analyst,Healthcare,Medium,United Arab Emirates,Medium,Medium,Machine Learning,51676.65641,No,Decline
Marketing Specialist,Technology,Medium,United States of America,Medium,High,Python,112524.0017,No,Decline
Cybersecurity Analyst,Education,Small,United States of America,High,High,UX/UI Design,84526.07808,No,Growth
AI Researcher,Manufacturing,Medium,United States of America,Medium,High,Marketing,99743.2888,No,Decline
Data Scientist,Entertainment,Medium,United States of America,High,Medium,Cybersecurity,103150.4883,No,Decline
Product Manager,Technology,Large,United States of America,Medium,Medium,UX/UI Design,98828.42999,Yes,Stable
AI Researcher,Transportation,Medium,Singapore,High,Medium,Sales,72700.98697,Yes,Stable
Sales Manager,Manufacturing,Large,United States of America,High,High,Machine Learning,82709.01707,Yes,Growth
Marketing Specialist,Manufacturing,Small,Germany,Medium,Medium,Sales,60768.87645,No,Decline
Software Engineer,Healthcare,Medium,France,Low,Low,Data Analysis,99835.92663,No,Growth
Product Manager,Finance,Large,Australia,Medium,Low,JavaScript,124041.1031,No,Stable
Product Manager,Transportation,Small,Canada,High,Medium,Project Management,53511.18227,No,Growth
Data Scientist,Education,Medium,United States of America,Low,Low,Marketing,74767.08188,Yes,Stable
Operations Manager,Healthcare,Small,Australia,Medium,Low,UX/UI Design,86364.49448,Yes,Growth
Product Manager,Education,Medium,Canada,Medium,High,Machine Learning,93466.82847,No,Growth
HR Manager,Healthcare,Small,France,Medium,Medium,Sales,107583.526,Yes,Decline
Marketing Specialist,Healthcare,Small,France,Low,Medium,Communication,86956.00039,Yes,Growth
Marketing Specialist,Healthcare,Large,United States of America,High,High,Data Analysis,83680.82547,No,Decline
HR Manager,Finance,Small,United States of America,Medium,Low,Project Management,112062.6141,No,Decline
UX Designer,Healthcare,Medium,France,Medium,Low,Project Management,103239.9113,No,Decline
HR Manager,Retail,Medium,Canada,Medium,Medium,UX/UI Design,100779.5595,No,Decline
HR Manager,Entertainment,Large,United States of America,Medium,Low,Marketing,92250.31423,No,Growth
Marketing Specialist,Education,Medium,United Arab Emirates,Medium,High,Cybersecurity,109663.0442,No,Stable
Cybersecurity Analyst,Technology,Medium,United Kingdom,High,High,Communication,76873.81218,Yes,Stable
Marketing Specialist,Energy,Medium,Australia,High,Medium,UX/UI Design,74146.11436,Yes,Stable
Operations Manager,Transportation,Small,Singapore,Medium,High,Sales,104922.0197,No,Growth
Data Scientist,Telecommunications,Small,Australia,Low,High,JavaScript,57499.28062,Yes,Decline
AI Researcher,Finance,Medium,Singapore,High,Medium,Python,91843.59019,No,Stable
Cybersecurity Analyst,Technology,Large,Canada,Low,High,Cybersecurity,83668.83295,No,Growth
Software Engineer,Manufacturing,Small,Singapore,High,High,Marketing,61884.90539,No,Decline
AI Researcher,Retail,Large,United States of America,Medium,High,Data Analysis,71374.64841,No,Stable
Data Scientist,Telecommunications,Medium,United Arab Emirates,High,Low,Cybersecurity,87820.47815,Yes,Decline
Operations Manager,Energy,Medium,United Arab Emirates,Medium,Medium,Machine Learning,110679.2651,No,Stable
Operations Manager,Technology,Small,United States of America,High,Medium,Marketing,76940.84017,Yes,Stable
Software Engineer,Telecommunications,Medium,Germany,Medium,Medium,JavaScript,114267.628,No,Stable
Cybersecurity Analyst,Technology,Small,Canada,Medium,Low,Machine Learning,91263.58455,No,Decline
UX Designer,Retail,Medium,Germany,Medium,Low,Cybersecurity,116207.694,No,Growth
HR Manager,Energy,Medium,Germany,Medium,Medium,Python,77910.16782,Yes,Decline
Cybersecurity Analyst,Manufacturing,Small,Australia,Low,Low,Python,89023.80824,No,Stable
UX Designer,Healthcare,Small,France,Medium,Medium,JavaScript,97369.67207,No,Decline
Operations Manager,Education,Small,Australia,Low,Low,Project Management,86409.79075,No,Growth
Marketing Specialist,Manufacturing,Medium,France,Low,High,Communication,109060.4829,Yes,Decline
Data Scientist,Healthcare,Medium,United Kingdom,Medium,High,Data Analysis,45848.72549,Yes,Growth
Software Engineer,Finance,Large,Singapore,Low,Medium,Project Management,138448.1108,Yes,Growth
Data Scientist,Entertainment,Small,France,High,Low,Python,107155.4921,No,Decline
Sales Manager,Transportation,Medium,United States of America,Medium,Low,Python,86529.36342,Yes,Stable
Sales Manager,Transportation,Medium,Australia,Low,High,Sales,78953.56653,No,Growth
Cybersecurity Analyst,Education,Small,Canada,Medium,High,Machine Learning,72671.58777,Yes,Decline
Operations Manager,Energy,Large,Singapore,Medium,Low,Cybersecurity,102912.3095,Yes,Growth
Operations Manager,Retail,Small,United Kingdom,Medium,Low,Data Analysis,109899.6334,No,Stable
HR Manager,Energy,Large,France,Low,Low,JavaScript,86749.47744,Yes,Decline
HR Manager,Retail,Medium,United Kingdom,High,Low,Cybersecurity,112139.8083,No,Decline
HR Manager,Energy,Large,Canada,High,Low,Sales,71854.79906,No,Decline
Marketing Specialist,Entertainment,Medium,Germany,Low,Low,Python,68323.783,Yes,Stable
AI Researcher,Finance,Small,United Arab Emirates,Medium,Medium,JavaScript,126266.8241,No,Growth
Product Manager,Finance,Small,Canada,Low,Low,Python,101822.1723,No,Decline
AI Researcher,Healthcare,Small,Japan,Low,High,Data Analysis,117936.964,Yes,Growth
Data Scientist,Telecommunications,Large,Canada,Low,Medium,Machine Learning,72921.20583,Yes,Growth
AI Researcher,Finance,Medium,United Kingdom,Medium,Low,Cybersecurity,71529.49216,No,Stable
Marketing Specialist,Finance,Small,United States of America,Low,High,Cybersecurity,82827.81361,Yes,Decline
Data Scientist,Manufacturing,Small,Australia,Medium,Medium,Project Management,73518.82317,No,Growth
AI Researcher,Manufacturing,Medium,United States of America,Low,High,JavaScript,104107.3042,No,Decline
Marketing Specialist,Healthcare,Small,United Kingdom,High,Low,Communication,74977.47886,Yes,Decline
Product Manager,Telecommunications,Medium,Australia,Low,Low,Sales,66566.60284,Yes,Stable
AI Researcher,Education,Medium,Japan,Low,Low,Communication,92840.30825,Yes,Decline
Marketing Specialist,Manufacturing,Medium,United Arab Emirates,High,Low,Project Management,64200.27648,Yes,Decline
HR Manager,Education,Medium,Singapore,Medium,Medium,Data Analysis,54010.72137,No,Growth
Operations Manager,Technology,Medium,United Kingdom,Medium,Medium,Sales,92665.14468,No,Stable
HR Manager,Manufacturing,Large,France,Low,High,Machine Learning,55015.59914,Yes,Decline
Operations Manager,Entertainment,Small,United Kingdom,High,Low,Communication,105505.5879,Yes,Growth
Software Engineer,Telecommunications,Large,United Kingdom,Medium,High,Machine Learning,62093.32547,No,Stable
Software Engineer,Healthcare,Small,Australia,Low,Medium,Communication,45186.52427,No,Stable
Software Engineer,Technology,Large,United States of America,High,Low,Machine Learning,84124.067,No,Growth
Product Manager,Telecommunications,Medium,Canada,Medium,Low,Communication,92891.89007,No,Growth
HR Manager,Entertainment,Small,United States of America,Medium,Medium,Machine Learning,99829.50127,Yes,Growth
Operations Manager,Telecommunications,Small,Japan,High,Medium,Project Management,93440.31398,No,Growth
Marketing Specialist,Entertainment,Large,France,High,Medium,Marketing,68813.74758,No,Growth
Data Scientist,Entertainment,Large,United Arab Emirates,High,Medium,Sales,104261.2236,Yes,Decline
Marketing Specialist,Education,Small,Germany,High,Medium,JavaScript,109202.7701,No,Decline
Data Scientist,Energy,Large,Japan,Low,Low,Data Analysis,65884.75743,No,Stable
Sales Manager,Technology,Large,Germany,High,Medium,UX/UI Design,86379.87723,Yes,Decline
Marketing Specialist,Telecommunications,Large,Germany,Medium,Low,Python,84511.19946,Yes,Decline
AI Researcher,Retail,Medium,United Arab Emirates,Medium,Low,JavaScript,94407.63166,Yes,Decline
AI Researcher,Technology,Medium,United States of America,Low,Medium,Python,85901.52416,No,Growth
Cybersecurity Analyst,Energy,Large,United States of America,Medium,Medium,Sales,88642.44456,No,Stable
HR Manager,Technology,Large,United Kingdom,Medium,Low,JavaScript,102836.3106,Yes,Stable
Data Scientist,Finance,Medium,Singapore,High,Medium,Machine Learning,67722.93801,Yes,Stable
Data Scientist,Retail,Medium,Germany,Medium,Medium,Machine Learning,104747.4627,No,Stable
HR Manager,Energy,Small,France,Low,Medium,UX/UI Design,112822.6546,Yes,Decline
Product Manager,Education,Small,Japan,High,High,Python,122682.6999,Yes,Decline
Cybersecurity Analyst,Telecommunications,Medium,United States of America,High,Low,Data Analysis,47132.65352,Yes,Growth
Product Manager,Transportation,Large,Germany,Low,High,Sales,86341.96686,No,Stable
Product Manager,Energy,Large,United States of America,High,Medium,Machine Learning,50697.98851,No,Decline
Product Manager,Healthcare,Large,United States of America,High,High,Marketing,41298.7262,No,Decline
HR Manager,Telecommunications,Large,Germany,Low,Medium,Project Management,92881.86095,No,Growth
Product Manager,Energy,Small,Australia,High,High,Project Management,82016.96414,No,Growth
AI Researcher,Finance,Medium,Canada,Low,Medium,Communication,95997.01904,No,Growth
Software Engineer,Transportation,Large,France,Low,High,Data Analysis,99722.5538,Yes,Decline
Sales Manager,Finance,Small,United Kingdom,Medium,High,Project Management,114957.9192,No,Decline
Data Scientist,Transportation,Large,United Kingdom,Medium,High,Communication,91078.40851,No,Growth
Data Scientist,Healthcare,Medium,France,High,Low,Python,148467.1123,Yes,Stable
Sales Manager,Telecommunications,Small,Australia,High,High,Machine Learning,96128.1971,No,Growth
HR Manager,Education,Medium,United Kingdom,Low,Low,Machine Learning,126849.5809,No,Growth
Marketing Specialist,Finance,Medium,United States of America,High,Medium,Marketing,43343.24399,Yes,Growth
HR Manager,Finance,Small,United Arab Emirates,Low,High,JavaScript,116994.7906,Yes,Growth
Data Scientist,Entertainment,Small,Japan,Low,Medium,Project Management,86384.7902,Yes,Decline
Data Scientist,Transportation,Small,United States of America,High,Medium,Python,51033.05481,No,Stable
Sales Manager,Manufacturing,Small,United Kingdom,Low,High,Cybersecurity,98410.90218,Yes,Growth
Product Manager,Telecommunications,Small,France,Medium,Low,Project Management,83940.88924,No,Stable
HR Manager,Transportation,Small,United Arab Emirates,High,High,Data Analysis,101601.065,No,Stable
Operations Manager,Entertainment,Small,Germany,Medium,Medium,JavaScript,110221.5292,No,Stable
Sales Manager,Technology,Large,Canada,High,Medium,Project Management,60216.99766,No,Growth
AI Researcher,Transportation,Medium,France,Low,High,Python,110298.3796,Yes,Decline
Data Scientist,Education,Small,United States of America,High,Low,Project Management,90129.58968,Yes,Growth
